filename,macro_f1,micro_f1,num_segments,num_true_labels,num_pred_labels,num_errors
000639.wav,0.06666666666666667,0.20618556701030927,58,19,78,77
000644.wav,0.19439613526570051,0.6434782608695652,55,41,74,41
000658.wav,0.10976430976430976,0.7857142857142857,61,33,51,18
000659.wav,0.12428571428571429,0.9365079365079365,40,59,67,8
000698.wav,0.1660434018924585,0.8125,44,53,75,24
000703.wav,0.1641025641025641,0.4631578947368421,43,28,67,51
000704.wav,0.11023233760075865,0.4262295081967213,51,46,76,70
000722.wav,0.12063492063492064,0.7037037037037037,36,27,27,16
000727.wav,0.19625756741882225,0.978494623655914,47,92,94,4
000738.wav,0.09636363636363636,0.6885245901639344,37,23,38,19
000744.wav,0.1592738367658276,0.8392857142857143,64,94,130,36
000765.wav,0.05777777777777778,0.5416666666666666,36,19,29,22
000766.wav,0.06666666666666667,0.9315068493150684,37,34,39,5
000770.wav,0.05228758169934641,0.5063291139240507,34,31,48,39
000774.wav,0.05801526717557252,0.6514285714285715,76,63,112,61
000810.wav,0.07883597883597884,0.5416666666666666,33,16,32,22
000815.wav,0.11512195121951221,0.7076923076923077,34,23,42,19
000833.wav,0.048484848484848485,0.3018867924528302,36,24,29,37
000840.wav,0.10473771730914588,0.47368421052631576,66,29,85,60
000842.wav,0.11555555555555556,0.8131868131868132,43,40,51,17
000845.wav,0.12411027568922305,0.7816091954022989,37,42,45,19
000856.wav,0.09681083442551333,0.7659574468085106,64,55,86,33
000858.wav,0.11376811594202899,0.53125,39,17,47,30
000876.wav,0.10954831332189822,0.3157894736842105,50,66,67,91
000878.wav,0.14524750611707132,0.6373626373626373,54,37,54,33
000882.wav,0.1354080336942311,0.4452054794520548,67,102,190,162
000883.wav,0.1111111111111111,0.819672131147541,37,25,36,11
000887.wav,0.10448717948717949,0.6764705882352942,36,27,41,22
000893.wav,0.04938271604938271,0.40816326530612246,36,18,31,29
000896.wav,0.0,0.0,32,13,10,23
000897.wav,0.0367816091954023,0.27586206896551724,36,13,45,42
000900.wav,0.06315789473684211,0.7105263157894737,30,32,44,22
000902.wav,0.08282828282828283,0.5142857142857142,35,22,48,34
000928.wav,0.10158730158730159,0.3684210526315789,40,9,29,24
000931.wav,0.06666666666666667,0.7326732673267327,37,37,64,27
000951.wav,0.2504643962848297,0.875,62,59,69,16
000952.wav,0.10384615384615385,0.24615384615384617,46,28,37,49
000954.wav,0.17114737114737114,0.6226415094339622,42,42,64,40
000959.wav,0.06256410256410257,0.37735849056603776,47,16,37,33
000986.wav,0.12398921832884095,0.672566371681416,65,38,75,37
001030.wav,0.12046783625730993,0.8674698795180723,35,36,47,11
001031.wav,0.12410453216374269,0.9263157894736842,65,91,99,14
001032.wav,0.13280745248290887,0.6741573033707865,58,33,56,29
001033.wav,0.05555555555555556,0.4,31,5,20,15
001036.wav,0.17286324786324786,0.6865671641791045,36,25,42,21
001041.wav,0.06272727272727273,0.4166666666666667,67,26,70,56
001051.wav,0.10943396226415093,0.8611111111111112,45,62,82,20
001053.wav,0.1692706712314555,0.7,36,21,39,18
001054.wav,0.11578947368421053,0.8173913043478261,43,59,56,21
001062.wav,0.11170731707317073,0.8571428571428571,31,27,36,9
001065.wav,0.10128205128205128,0.4444444444444444,57,51,93,80
001068.wav,0.10634920634920636,0.6666666666666666,38,17,31,16
001070.wav,0.1062265566391598,0.7407407407407407,40,35,46,21
001079.wav,0.06923076923076922,0.41509433962264153,36,15,38,31
001081.wav,0.0654970760233918,0.7671232876712328,34,35,38,17
001124.wav,0.05128205128205129,0.2857142857142857,34,5,30,25
001154.wav,0.11044917257683216,0.8062015503875969,42,57,72,25
001157.wav,0.1126984126984127,0.7659574468085106,43,42,52,22
001165.wav,0.16307560505461552,0.6153846153846154,60,44,73,45
001171.wav,0.11292270531400966,0.4576271186440678,42,50,68,64
001190.wav,0.16191760299625468,0.8073394495412844,48,88,130,42
001201.wav,0.07777777777777778,0.5380710659898477,49,53,144,91
001209.wav,0.09222222222222222,0.36619718309859156,42,43,28,45
001213.wav,0.1729292929292929,0.6060606060606061,59,24,42,26
001228.wav,0.09325536062378167,0.7142857142857143,35,40,44,24
001235.wav,0.12494975595750789,0.6582278481012658,33,42,37,27
001270.wav,0.09848484848484848,0.56,51,17,33,22
001305.wav,0.04086021505376344,0.5846153846153846,44,19,46,27
001310.wav,0.18055555555555552,0.810126582278481,34,34,45,15
001311.wav,0.04923076923076923,0.631578947368421,57,31,45,28
001343.wav,0.1127972027972028,0.47058823529411764,47,28,74,54
001377.wav,0.11259259259259259,0.7457627118644068,40,22,37,15
001387.wav,0.10709876543209876,0.5454545454545454,40,49,72,55
001389.wav,0.18653299916457808,0.9175257731958762,54,104,90,16
001392.wav,0.24343434343434342,0.7901234567901234,41,35,46,17
001397.wav,0.05841073271413828,0.14814814814814814,37,64,44,92
001398.wav,0.1100891265597148,0.5,32,20,20,20
001428.wav,0.17593445980542757,0.4578313253012048,46,45,38,45
